Ext	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-9-1	WT-9-2	WT-9-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-9-1	3A-9-2	3A-9-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-9-1	3Amk-9-2	3Amk-9-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
Glucose_Ext	40333.45	39187.02	37673.25	36049.54	35024.25	36089.68	35853.51	34987.50	35039.28	31752.32	31119.16	31553.54	26672.86	27610.24	27398.83	23119.08	23646.10	24710.54	22607.86	22949.08	23140.75	21549.37	22122.40	22365.30	20693.23	21609.36	21603.84	37173.70	36425.88	37642.89	36660.20	36437.04	36132.48	35536.55	34655.74	35619.13	35160.69	34552.64	35012.87	31448.93	31826.49	31595.87	27517.39	26997.38	27188.41	24121.85	24211.19	24651.93	20583.53	20453.13	20636.12	16965.13	16686.36	16598.86	36950.73	37835.03	36733.89	36488.93	36362.66	34813.12	35600.52	35603.34	35756.23	35769.84	35673.57	35523.19	36612.20	35711.78	35255.41	35316.72	34761.65	34722.04	33635.80	33677.47	33795.21	29775.31	30136.82	29587.88	26908.79	33373.89	43912.39
Acetate_Ext	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19530.00	18400.00	19080.00	19230.00	25040.00	19340.00	19990.00	22120.00	21540.00	24100.00	27240.00	22490.00	26880.00	22630.00	23470.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14140.00	25530.00	29460.00
Isopentenol_Ext	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.92	26.78	29.39	26.86	263.67	281.54	282.71	883.46	834.02	824.66	1931.24	1955.26	1958.98	3737.46	3550.31	3546.12	5238.59	5736.16	5400.11	7368.35	7498.80	7418.61	0.00	0.00	0.00	0.00	0.00	0.00	14.37	14.90	15.15	86.81	85.34	81.98	197.44	208.23	219.84	446.55	409.55	468.81	709.27	714.48	715.34	994.90	993.50	1008.78	1447.45	1379.16	1342.16
3-P-Gly_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alanine_Ext	139.1559163	54.5084144	139.2954776	137.071857	133.3457702	133.9110093	72.88938381	130.5016961	132.5634067	66.42334174	64.58212124	64.68071861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.6040199	137.2310852	135.4392949	134.6061865	135.5446757	135.7072694	142.3047746	134.9778066	135.1649575	107.1423218	108.7478552	107.9232656	24.61574148	24.04093193	24.61726645	0	0	0	0	0	0	0	0	0	0	0	0	133.9249444	133.0963583	132.4930476	138.0184444	138.2647538	138.4807741	137.400883	138.3794948	136.1191172	125.2174553	126.6726474	129.6806298	122.4746079	119.1181429	115.5025904	88.11886564	87.49783365	86.82411122	43.17855074	42.85073419	43.8553757	0	0	0	0	0	0
AMP_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asparagine_Ext	643.4322397	159.4866529	595.1457143	75.66984015	102.5785671	69.75397591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680.5468583	659.7268963	663.9016565	548.1691084	546.61561	534.2338719	413.5628591	378.6319137	359.6666629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678.4319658	639.9718516	654.2725753	519.7756638	480.081052	529.2588822	353.2320962	329.8703262	313.9506438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspartate_Ext	3.490749333	0.925870317	1.29042831	5.020686429	4.711087357	5.803014511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.946764069	5.676334937	5.757208941	0.849017887	0.995510311	0.842496416	1.085910321	1.258861285	1.05989431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.351991264	8.356069479	9.281761232	1.413326983	1.872034832	1.41074945	1.977605025	2.520789214	2.101272301	1.120186862	1.209934725	1.163686626	1.079590705	0.90659316	1.023436182	0	0	0	0	0	0	0	0	0	0	0	0
ATP_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaine_Ext	32.56926738	8.654952219	32.87170956	30.91305409	30.79223927	30.90583943	11.84113443	28.90346357	28.65697783	15.73665567	15.84300474	15.4872757	2.403181343	3.572085445	2.929028298	17.6123817	19.97776199	18.69114306	24.09433754	25.08661813	24.38912924	24.80673204	25.88116622	24.75859069	26.52484337	26.78799623	24.67075591	32.52509835	32.1111447	31.82831177	31.26949691	31.10347478	30.83868658	31.3960813	29.65140649	29.3245219	20.341267	20.6871017	20.12596876	5.152799842	5.175950973	5.211046701	1.035059178	2.138913972	2.204238536	1.654855227	1.761561865	1.641983668	1.707157111	1.926984241	1.607819625	0.586142712	1.363661409	1.570836239	31.56953129	31.32931907	31.38113521	31.74306357	30.81594024	31.84092021	30.4349383	29.85931533	29.87217542	25.74300222	24.73875814	24.89641872	16.69017046	15.63382082	15.57261834	12.90519256	12.86989107	13.05682114	2.390382645	2.262765373	2.188470724	2.333588972	2.481595377	1.982189124	2.072694153	2.16414436	2.345363558
CDP-ME_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cis-Aconitate_Ext	0.326178477	0.333557953	0.35233706	0.595883416	0.534817828	0.597646384	1.206544922	1.143466443	1.175725618	2.073380639	2.132567303	2.051657622	3.582225156	3.646426037	3.551718818	5.598493941	5.891067938	5.697860755	7.443929258	8.455576078	8.344451636	9.401066541	9.272706435	9.36483337	6.022939347	8.338205819	11.7761017	0.358263156	0.356228875	0.340712274	0.420035733	0.450664781	0.402009772	0.48312547	0.517037287	0.528653067	0.967296787	1.041014996	1.036108855	1.857510414	1.911790937	1.902226325	3.050981674	3.158584682	3.108161076	5.098072014	5.075771474	5.269627105	6.249184743	5.875468029	6.01507466	6.965995877	7.301595992	6.980667019	0.30383178	0.297391202	0.300829329	0.335775736	0.320930099	0.304892263	0.3467532	0.368920899	0.349917762	0.466874861	0.491548542	0.472083837	0.600911141	0.59968742	0.507731604	0.552097398	0.540489499	0.522180968	0.720350581	0.772690262	0.74732873	0.974015432	0.964446317	0.929119396	1.704421464	1.68481491	1.812167445
