Met	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-9-1	WT-9-2	WT-9-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-9-1	3A-9-2	3A-9-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-9-1	3Amk-9-2	3Amk-9-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
3-P-Gly	6597.042668	5011.855815	6120.982487	6260.353871	3099.370306	2580.161575	6042.386168	4101.512528	5856.300677	1875.830027	6055.465248	6338.253291	6561.223265	5204.611694	4851.872285	6974.845482	5387.532295	4542.611653	5567.464678	4306.207441	4607.326861	3750.713569	3647.499731	2910.687477	2763.810664	3197.486074	3388.047824	10586.04879	8262.58881	8943.978086	5211.321105	6080.753685	3673.047671	5303.919387	6529.708305	5634.749548	4508.213706	5263.737072	4950.895964	5447.690669	5863.849956	5544.103164	7090.983358	4787.15585	7007.937879	6172.914937	6942.07084	6251.4461	6232.184695	6016.993967	6471.645219	6161.366871	5679.41663	6006.813175	8112.670149	8054.52213	7701.097301	5300.772649	6446.789345	9095.669123	5857.318321	4379.168894	6419.632587	5681.602784	7225.387592	6943.752029	5861.968234	6826.277661	7850.677481	5341.518693	5370.547432	6551.194486	6658.031497	5970.645846	6041.148091	5119.698794	4415.163179	4854.061808	3922.014956	4102.369592	3296.749531
Acetoacetyl CoA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl CoA	6795.328044	6114.096651	6803.102754	5183.630239	2921.678335	2380.179827	2341.937836	1978.363962	2161.126917	485.0261159	887.2214824	981.1568643	1578.430475	1533.744029	1179.448486	860.2344192	886.3239904	1081.141439	481.9429654	497.3885907	408.0184638	295.8393973	287.2276811	264.9935189	212.3000437	167.2240645	170.3544253	7780.082945	6200.128528	6603.017585	3280.455077	2566.457139	2717.532972	2691.647232	2599.341006	2613.06421	857.8675243	1172.874493	1231.896707	716.3879192	781.6074925	688.3807397	443.9595277	353.7313296	366.1883932	174.6341425	119.4304389	98.92982293	68.5828227	86.91129982	49.71909424	43.15713743	41.60794406	39.12549973	5896.174027	5206.04908	3808.469915	2622.802523	3346.022206	3313.450094	1548.523288	1623.916279	1943.119664	1170.639684	1171.359369	918.0335721	1035.905854	1095.095156	912.3037424	844.2118727	834.2692531	645.3321441	433.6016921	437.1731482	544.4839999	353.5261505	357.5734843	435.2215816	393.9419156	240.4732427	254.3055739
ADP	14060.33331	4370.296439	6172.760735	7615.348788	2749.832833	3108.613133	3388.873087	3101.583929	3817.520557	1014.161035	3562.842241	3268.129434	3091.13239	2483.965399	2691.999441	4132.570931	2992.726295	2374.100216	2577.148274	2077.867927	2451.251561	1879.850057	1458.685709	1661.718971	1220.706875	1093.830744	1161.556316	5473.049045	4020.166045	3489.020693	2854.316888	3231.554461	3134.40162	2643.774622	2746.104989	3313.013626	3006.473956	3740.067801	3124.291287	3682.846319	2930.329587	2972.147324	4865.07003	3100.327464	3519.876553	3178.440497	3312.569642	2516.139207	2716.634283	2514.755935	3278.16507	3342.401551	2481.201719	3048.211621	3985.672992	5115.920425	3829.207947	2869.727461	4385.81393	4519.362485	1961.448254	2320.24296	2409.302696	1189.658037	1740.983201	1766.611443	1767.855258	2236.325839	2620.504867	2134.116526	2912.180329	3416.678806	3095.352006	3193.740064	2589.916079	4137.732899	2622.629671	2811.715639	1964.221238	2370.845632	1812.913287
Alanine	43737.49606	50518.27494	86825.12531	50126.8867	56366.54345	69458.67455	59521.84013	63747.1555	55314.96528	21340.54491	21240.06365	20428.97628	6203.944391	6785.638743	6789.648836	6552.45491	5639.534526	6918.312435	5084.789479	4059.479093	5133.699812	4561.8558	4634.411974	4623.428614	6391.131949	6959.763038	6886.422866	118027.9252	116786.2742	18529.0305	57949.09499	79631.75206	100776.8216	61831.92344	61185.77063	55744.88561	34614.87703	35100.652	38156.20434	12649.2403	12950.02007	12981.91801	9967.491245	10969.99803	10540.61215	10723.23678	10632.68186	10666.55752	9659.309862	9766.21436	10919.06128	9620.330771	10664.54275	9163.624713	59434.98369	138862.8544	80182.56098	83201.2265	91874.05053	85792.82306	69893.87683	67007.0745	59529.78495	48060.4676	51520.51265	45818.4255	41469.21262	35631.13786	37555.28976	29641.31391	23837.04714	31123.82842	16675.65627	17497.28131	14975.07802	7233.630847	6410.187553	6496.748997	10633.54158	9770.204248	9883.384702
AMP	7051.516424	3143.905428	3563.59376	4172.346644	1699.57509	1592.883445	1915.538923	1208.248305	2362.301503	366.6491923	1481.617998	1210.889029	1871.231942	1439.655314	1869.095842	1385.530925	1438.676774	1131.63149	1054.586306	879.0084129	969.9103232	961.8010616	1269.796138	1082.49183	795.252822	793.4953308	1410.418657	0	0	0	2382.253353	2269.56009	2121.72265	1624.682532	2298.985939	2939.159166	1386.435554	1888.38536	1815.129783	1689.606876	1431.040366	1236.909746	3127.064046	1370.886754	2283.44278	1350.080692	1397.591473	1472.44537	953.0070506	1128.179914	1173.217142	1661.578482	1024.283547	1167.185024	0	0	0	2783.426608	3392.049437	3029.329081	2695.605718	2678.983381	2642.245905	860.4127353	1141.705969	1377.545717	1024.815199	995.2202361	1104.591545	939.7212097	1259.014131	1171.665153	1020.282901	943.5887042	920.5390332	1346.369118	1086.511644	1097.265579	1096.657602	920.5792264	915.8315006
Arginine	366441.2838	372688.0652	393912.5198	243798.424	243509.9006	273123.0601	217183.7735	226258.7716	208091.977	109311.8766	114889.4149	110243.4394	67406.49242	65947.49433	59067.90458	62283.65908	60553.20101	62715.75436	59151.11711	60939.62099	67848.23666	59206.52094	57646.78417	57706.19413	54182.08751	51577.47849	52132.46656	589402.018	586109.0554	270268.863	347954.8451	364081.2644	406673.2978	285817.8943	299662.1152	269402.0035	158976.4819	162158.8139	166408.4866	98823.44956	98135.27989	97863.61019	78642.5269	75444.88504	76937.33856	76430.21008	74203.14279	75491.97021	75657.10505	74419.77152	71399.33919	77554.71329	77128.44845	73916.61874	507649.2699	683719.9501	574745.6981	423463.7675	437051.3967	419211.0931	333383.9965	328924.8464	311769.7202	238942.2347	246526.1667	231096.3158	204476.4677	195984.608	200056.1008	176409.7119	165030.2817	184691.8155	139080.4111	149444.1775	132787.4335	97716.42449	97638.27491	96190.42349	78876.79103	80246.88544	76101.37962
Asparagine	73342.77162	80168.44297	176326.61	15187.66408	20595.54855	18579.65429	11490.86981	10803.33392	12162.03631	9453.976405	7475.666888	10174.49463	3005.832578	3350.635942	3419.068616	3693.645643	3549.339176	3163.977052	2839.735657	0	3610.290442	2016.592606	0	1942.650148	0	2509.470407	1919.631867	336130.278	313780.5627	43818.95648	102988.1993	145843.8117	237465.374	78187.99812	66030.01903	49087.16266	10731.33833	13477.6741	11728.06976	10209.16468	8970.001496	7586.349291	9681.147648	9472.381355	10815.01284	14767.05458	12605.01579	13158.13253	13648.19062	13231.86831	14620.18848	12937.49917	13340.25924	11595.69111	119284.9334	344055.4827	116269.5279	137565.6203	139593.1944	130344.0815	87403.41682	78880.03921	49474.61778	14933.15156	16839.58634	17756.55286	13965.97938	19191.39139	12259.31258	12331.29404	10169.4057	12179.64613	11790.49067	9855.124466	10404.5477	8329.477105	7611.44706	7402.376718	6186.457714	5003.589574	4794.318716
Aspartate	11170.50747	2178.895233	3364.538405	1670.208064	876.5110892	1289.472782	714.5463114	681.6518077	832.8476194	324.987406	983.1583187	805.2518639	413.2110829	213.2814725	231.783436	385.8443753	305.1719889	259.4297501	333.8725403	293.6298928	396.6460205	274.3673592	248.6275289	254.5046592	238.7037147	227.9052826	251.3412314	3691.002771	3246.612696	4853.721381	1700.956877	1297.806583	1733.751863	1827.678595	1720.140302	1352.824653	615.9507331	647.4936076	690.2184866	674.8822131	608.9325043	752.9656798	840.7558424	751.9391548	862.1602964	974.3678912	938.3093853	840.1903623	935.4178718	938.1226471	994.2038496	786.6923649	835.830751	856.704248	3655.915187	4764.40052	2577.238626	2238.588578	3666.245438	3411.319382	2761.486227	3184.687379	2878.449105	1543.729148	1924.271753	2125.26842	1388.829555	1703.959755	1803.419745	1274.155755	1233.145986	1396.051553	1237.367426	1580.380619	1476.858364	966.7028088	830.734558	787.1906331	425.1395084	597.9188102	417.7743488
ATP	5652.602935	3648.364513	6346.425023	5557.704862	2853.663458	3246.500164	4900.322197	3576.185682	6068.464225	1484.819929	3688.208976	4304.343444	6097.97049	4708.935912	5821.45264	6493.627461	7156.315171	6139.556309	3780.982585	3025.333432	4245.48122	1988.905447	1748.682848	2250.508664	1324.819752	1170.535527	1129.316002	5200.814122	4571.439559	4012.112704	2083.128754	2523.621015	2418.070465	2861.451984	3763.091918	3756.394317	3812.007999	3030.565609	3058.804443	2824.719028	3827.49098	3497.294705	5949.068831	4794.078658	5706.345958	6058.437588	6137.627709	5208.735062	5652.27078	5780.287735	6058.799322	4365.313933	6240.405696	5266.714931	5392.547309	5770.486747	4644.969692	2294.931776	2716.541303	3773.063846	1206.430726	1122.549774	1954.012687	778.6181402	908.7720427	763.4391541	1264.078951	1388.636964	1313.916319	2012.305404	2326.526942	1411.175531	1785.378919	1976.318235	2089.144144	2626.366478	2297.070504	2103.070817	2659.06552	2535.016836	2286.334992
