Protein	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
ffh	5.5187	7.5156	4.5083	0	0	0	3.069	2.1849	2.1864	3.8954	3.8422	4.7123	0	0	0	0	0	0	2.1443	1.049	1.012	0.96145	1.0541	1.0151	2.1193	4.4412	4.9255	0	0	0	0	0	0	1.0466	1.9841	2.9364	0	0	0	0	0	0	0	0	0	0	0	0	2.3217	0	0	0	0	0	0	0	0	1.0895	3.684	0	0	0	0	0	0	0	0	0	0.96338	0	0	0
accA	12.614	11.273	14.276	15.558	12.538	13.353	11.253	12.017	14.211	10.907	11.527	10.995	16.778	13.29	12.496	11.77	10.382	12.669	10.721	7.3432	10.12	6.7302	5.2707	6.0906	9.5369	13.324	13.955	11.729	15	10.921	12.358	12.175	10.925	12.559	10.913	10.767	11.276	10.281	11.825	4.9845	4.8128	7.7737	6.9525	6.5695	5.2758	9.4098	5.3343	7.038	12.769	10.132	13.14	14.034	13.726	13.192	13.67	14.845	11.607	13.074	13.508	12.469	8.7718	11.597	12.574	10.32	7.8305	9.783	6.0735	8.8155	7.707	9.1532	8.8116	7.0874
accB	3.1535	3.0062	3.0056	6.2233	2.0896	2.0543	4.092	2.1849	3.2795	3.8954	5.3791	4.7123	1.1984	2.215	1.136	4.904	2.3072	1.0557	5.3607	3.1471	5.06	3.8458	4.2165	4.0604	6.3579	3.701	5.7464	4.6914	4.2857	2.1842	2.247	4.4273	3.2774	4.1865	3.9683	5.8729	3.0752	3.0842	4.3001	5.9815	4.8128	4.8586	4.966	4.3797	4.2207	3.7639	4.2674	4.0217	3.4825	4.5032	3.285	4.3181	2.2877	4.0591	3.1545	4.9485	3.869	4.358	4.912	4.1562	3.8986	4.2172	4.5722	3.7526	4.8941	4.4468	4.049	3.918	4.8169	3.6613	3.9162	4.4296
accC	8.6722	6.0125	6.7625	8.2978	5.2241	8.2173	8.184	7.6472	7.6522	7.0118	6.1476	9.4247	7.1907	4.4301	3.4081	2.9424	3.4608	4.2229	3.2164	5.2451	5.06	4.8073	2.1083	2.0302	5.2983	7.4021	6.5673	5.8643	7.4999	6.5525	6.7409	6.6409	5.4623	5.2331	6.9445	4.8941	4.1003	4.1122	6.4501	2.9907	1.9251	2.9151	2.9796	2.1898	2.1103	2.8229	0	3.0163	8.1258	6.7548	7.665	7.5566	6.863	6.0887	5.2576	6.9279	6.7707	5.4475	6.14	6.2344	4.8732	5.2715	5.7153	5.6288	3.9153	5.3362	2.0245	1.959	3.8535	3.6613	3.9162	1.7718
accD	0	0	0.75139	0	1.0448	0	0	0	1.0932	1.5582	2.3053	0.78539	0	0	0	1.9616	0	2.1115	2.1443	2.0981	2.024	2.8844	2.1083	2.0302	0	1.4804	0	1.1729	0	0	1.1235	2.2136	0	1.0466	0	1.9576	0	0	0	1.9938	1.9251	0.97171	0.99321	2.1898	1.0552	0.94098	1.0669	3.0163	0	0	0	0	0	0	0	0	0	0	0	0	1.9493	0	0	1.8763	1.9576	1.7787	2.0245	1.959	3.8535	1.8306	1.9581	1.7718
aceA	3.9419	5.2609	4.5083	1.0372	3.1345	1.0272	6.138	4.3698	3.2795	3.1163	3.0738	3.9269	3.5953	3.3226	3.4081	1.9616	1.1536	3.1672	3.2164	2.0981	2.024	0	1.0541	2.0302	5.2983	5.9216	6.5673	3.5186	3.2142	2.1842	3.3704	2.2136	2.1849	2.0932	5.9524	3.9153	3.0752	4.1122	3.2251	3.9876	5.7754	3.8868	4.966	2.1898	6.331	2.8229	3.2006	5.0272	4.6433	4.5032	5.475	3.2386	3.4315	6.0887	2.103	2.9691	3.869	3.2685	3.684	3.1172	1.9493	2.1086	4.5722	4.6907	3.9153	2.6681	4.049	3.918	3.8535	2.746	3.9162	4.4296
aceB										0	0	0.78539	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	1.0122	0	0	0	0	0
aceE	61.494	58.622	60.111	71.568	72.092	74.983	69.564	65.547	62.311	55.315	55.328	56.548	63.518	60.914	61.346	63.752	63.447	67.567	60.04	70.285	63.757	63.456	61.14	56.845	63.579	62.918	53.359	75.063	69.642	66.617	79.767	65.302	68.824	68.03	62.5	60.687	60.479	56.543	50.526	57.821	55.828	55.388	57.606	59.125	67.53	59.282	62.945	56.304	60.363	56.29	55.845	69.089	68.63	83.212	70.451	73.237	63.838	86.07	78.593	72.734	66.275	72.746	75.442	61.917	64.602	59.587	65.796	66.606	65.51	65.903	65.597	65.558
aceF	47.303	38.33	42.078	57.047	42.837	47.25	45.012	46.975	50.286	46.745	50.718	47.909	50.335	42.086	48.849	44.136	44.99	47.508	51.463	56.648	57.685	51.919	49.544	48.724	54.042	45.153	41.866	52.778	46.071	60.065	43.816	50.914	54.623	53.378	47.619	46.004	42.028	46.262	48.376	41.87	44.278	38.868	51.647	43.797	45.372	43.285	42.674	39.212	48.755	45.032	47.085	57.214	57.192	56.828	53.627	51.464	48.362	56.654	61.4	57.148	59.453	59.04	60.582	53.474	52.856	48.915	55.674	53.873	52.986	47.597	52.869	46.068
ackA	18.921	17.286	19.536	15.558	13.583	13.353	12.276	13.109	16.398	14.803	17.674	15.708	7.1907	9.9677	9.0883	11.77	11.536	11.613	15.01	15.735	16.192	12.499	11.595	11.166	12.716	16.285	13.955	12.901	17.143	15.289	11.235	11.068	12.017	10.466	12.897	13.703	7.1755	5.1403	6.4501	8.9722	9.6256	5.8303	8.9389	10.949	9.4965	7.5278	8.5349	6.0326	13.93	12.384	10.95	14.034	13.726	11.163	14.721	11.876	15.476	16.342	13.508	16.625	17.544	15.814	20.575	12.196	11.746	13.34	11.135	10.775	9.6338	10.984	6.8534	9.7451
