	strain	time	replicate
WT-0-1	WT	0	1
WT-0-2	WT	0	2
WT-0-3	WT	0	3
WT-0.5-1	WT	0.5	1
WT-0.5-2	WT	0.5	2
WT-0.5-3	WT	0.5	3
WT-1-1	WT	1	1
WT-1-2	WT	1	2
WT-1-3	WT	1	3
WT-3-1	WT	3	1
WT-3-2	WT	3	2
WT-3-3	WT	3	3
WT-6-1	WT	6	1
WT-6-2	WT	6	2
WT-6-3	WT	6	3
WT-12-1	WT	12	1
WT-12-2	WT	12	2
WT-12-3	WT	12	3
WT-15-1	WT	15	1
WT-15-2	WT	15	2
WT-15-3	WT	15	3
WT-18-1	WT	18	1
WT-18-2	WT	18	2
WT-18-3	WT	18	3
3A-0-1	3A	0	1
3A-0-2	3A	0	2
3A-0-3	3A	0	3
3A-0.5-1	3A	0.5	1
3A-0.5-2	3A	0.5	2
3A-0.5-3	3A	0.5	3
3A-1-1	3A	1	1
3A-1-2	3A	1	2
3A-1-3	3A	1	3
3A-3-1	3A	3	1
3A-3-2	3A	3	2
3A-3-3	3A	3	3
3A-6-1	3A	6	1
3A-6-2	3A	6	2
3A-6-3	3A	6	3
3A-12-1	3A	12	1
3A-12-2	3A	12	2
3A-12-3	3A	12	3
3A-15-1	3A	15	1
3A-15-2	3A	15	2
3A-15-3	3A	15	3
3A-18-1	3A	18	1
3A-18-2	3A	18	2
3A-18-3	3A	18	3
3Amk-0-1	3Amk	0	1
3Amk-0-2	3Amk	0	2
3Amk-0-3	3Amk	0	3
3Amk-0.5-1	3Amk	0.5	1
3Amk-0.5-2	3Amk	0.5	2
3Amk-0.5-3	3Amk	0.5	3
3Amk-1-1	3Amk	1	1
3Amk-1-2	3Amk	1	2
3Amk-1-3	3Amk	1	3
3Amk-3-1	3Amk	3	1
3Amk-3-2	3Amk	3	2
3Amk-3-3	3Amk	3	3
3Amk-6-1	3Amk	6	1
3Amk-6-2	3Amk	6	2
3Amk-6-3	3Amk	6	3
3Amk-12-1	3Amk	12	1
3Amk-12-2	3Amk	12	2
3Amk-12-3	3Amk	12	3
3Amk-15-1	3Amk	15	1
3Amk-15-2	3Amk	15	2
3Amk-15-3	3Amk	15	3
3Amk-18-1	3Amk	18	1
3Amk-18-2	3Amk	18	2
3Amk-18-3	3Amk	18	3
