Gene	ECKnum
aaeA	ECK3230
aaeB	ECK3229
aaeR	ECK3232
aaeX	ECK3231
aas	ECK2832
aat	ECK0876
abgA	ECK1334
abgR	ECK1335
abgT	ECK1332
abrB	ECK0704
accA	ECK0184
accB	ECK3242
accC	ECK3243
accD	ECK2310
aceA	ECK4007
aceB	ECK4006
aceE	ECK0113
aceF	ECK0114
aceK	ECK4008
ackA	ECK2290
acnA	ECK1271
acnB	ECK0117
acpP	ECK1080
acpS	ECK2561
acpT	ECK3459
acrA	ECK0457
acrB	ECK0456
acrD	ECK2465
acrE	ECK3252
acrF	ECK3253
acrR	ECK0458
acs	ECK4062
actP	ECK4060
ada	ECK2205
add	ECK1618
ade	ECK3656
adhE	ECK1235
adhP	ECK1472
adiA	ECK4110
adiC	ECK4108
adiY	ECK4109
adk	ECK0468
aegA	ECK2463
aer	ECK3062
aes	ECK0470
afuB	ECK0265
afuC	ECK0264
agaA	ECK3123
agaB	ECK3126
agaC	ECK3127
agaD	ECK3128
agaI	ECK3129
agaR	ECK3119
agaS	ECK3124
agaV	ECK3121
agaW	ECK3122
agp	ECK0993
ahpC	ECK0599
ahpF	ECK0600
aidB	ECK4183
ais	ECK2245
alaS	ECK2692
aldA	ECK1408
aldB	ECK3577
alkA	ECK2062
alkB	ECK2204
allA	ECK0498
allB	ECK0505
allC	ECK0509
allD	ECK0510
allR	ECK0499
allS	ECK0497
alpA	ECK2620
alr	ECK4045
alsA	ECK4080
alsB	ECK4081
alsC	ECK4079
alsE	ECK4078
alsK	ECK4077
alx	ECK3079
amiA	ECK2430
amiB	ECK4165
amiC	ECK2813
amiD	ECK0858
amn	ECK1977
ampC	ECK4146
ampD	ECK0109
ampE	ECK0110
ampG	ECK0427
ampH	ECK0371
amtB	ECK0445
amyA	ECK1926
anmK	ECK1636
ansA	ECK1765
ansB	ECK2952
ansP	ECK1447
apaG	ECK0051
apaH	ECK0050
apbE	ECK2206
aphA	ECK4047
appA	ECK0971
appB	ECK0970
appC	ECK0969
appY	ECK0556
apt	ECK0463
aqpZ	ECK0866
araA	ECK0063
araB	ECK0064
araC	ECK0065
araD	ECK0062
araE	ECK2839
araF	ECK1899
araG	ECK1898
araH	ECK1897
araJ	ECK0390
arcA	ECK4393
arcB	ECK3200
argA	ECK2814
argB	ECK3950
argC	ECK3949
argD	ECK3347
argE	ECK3948
argF	ECK0274
argG	ECK3161
argH	ECK3951
argI	ECK4247
argK	ECK2914
argO	ECK2919
argP	ECK2912
argR	ECK3226
argS	ECK1877
argT	ECK2304
ariR	ECK1153
arnA	ECK2248
arnC	ECK2247
arnD	ECK2249
arnF	ECK2252
arnT	ECK2250
aroA	ECK0899
aroB	ECK3376
aroC	ECK2323
aroD	ECK1691
aroE	ECK3268
aroF	ECK2598
aroG	ECK0743
aroH	ECK1702
aroK	ECK3377
aroL	ECK0383
aroM	ECK0385
aroP	ECK0111
arpA	ECK4009
arpB	ECK1718
arrD	ECK0546
arsB	ECK3487
arsC	ECK3488
arsR	ECK3486
artI	ECK0854
artJ	ECK0851
artM	ECK0852
artP	ECK0855
artQ	ECK0853
ascB	ECK2711
ascF	ECK2710
ascG	ECK2709
asd	ECK3419
aslA	ECK3794
aslB	ECK3793
asmA	ECK2058
asnA	ECK3738
asnB	ECK0662
asnC	ECK3737
asnS	ECK0921
aspA	ECK4133
aspC	ECK0919
aspS	ECK1867
asr	ECK1592
astA	ECK1745
astB	ECK1743
astC	ECK1746
astD	ECK1744
astE	ECK1742
atoA	ECK2215
atoB	ECK2217
atoC	ECK2213
atoD	ECK2214
atoE	ECK2216
atoS	ECK2212
atpA	ECK3727
atpB	ECK3731
atpC	ECK3724
atpD	ECK3725
atpE	ECK3730
atpF	ECK3729
atpG	ECK3726
atpH	ECK3728
atpI	ECK3732
avtA	ECK3561
azoR	ECK1405
bacA	ECK3047
baeR	ECK2075
baeS	ECK2074
bamB	ECK2508
barA	ECK2780
basR	ECK4106
basS	ECK4105
bax	ECK3559
bcp	ECK2476
bcr	ECK2176
bcsA	ECK3518
bcsB	ECK3517
bcsC	ECK3515
bcsE	ECK3521
bcsF	ECK3522
bcsG	ECK3523
bcsZ	ECK3516
bdm	ECK1475
betA	ECK0309
betB	ECK0310
betI	ECK0311
betT	ECK0312
bfd	ECK3324
bfr	ECK3323
bglA	ECK2896
bglB	ECK3714
bglF	ECK3715
bglG	ECK3716
bglH	ECK3713
bglJ	ECK4356
bglX	ECK2125
bhsA	ECK1098
bioA	ECK0763
bioB	ECK0764
bioC	ECK0766
bioD	ECK0767
bioF	ECK0765
bioH	ECK3399
birA	ECK3965
bisC	ECK3538
blc	ECK4145
blr	ECK1620
bolA	ECK0429
borD	ECK0549
brnQ	ECK0395
btuB	ECK3958
btuC	ECK1709
btuD	ECK1707
btuE	ECK1708
btuF	ECK0157
btuR	ECK1264
cadA	ECK4125
cadC	ECK4127
caiA	ECK0040
caiB	ECK0039
caiC	ECK0038
caiD	ECK0037
caiE	ECK0036
caiF	ECK0035
caiT	ECK0041
can	ECK0125
carA	ECK0033
carB	ECK0034
cbl	ECK1982
cbpA	ECK0991
cbpM	ECK0990
cbrA	ECK3682
cbrB	ECK3709
cbrC	ECK3710
cca	ECK3046
cchB	ECK2451
ccmA	ECK2193
ccmB	ECK2192
ccmC	ECK2191
ccmD	ECK2190
ccmE	ECK2189
ccmF	ECK2188
ccmG	ECK2187
ccmH	ECK2186
cdaR	ECK0161
cdd	ECK2136
cdh	ECK3910
cdsA	ECK0174
cedA	ECK1729
celC	ECK1734
cfa	ECK1657
chaA	ECK1210
chaB	ECK1211
chaC	ECK1212
chbB	ECK1736
chbC	ECK1735
chbF	ECK1732
chbG	ECK1731
chbR	ECK1733
cheA	ECK1889
cheB	ECK1884
cheR	ECK1885
cheW	ECK1888
cheY	ECK1883
cheZ	ECK1882
chiA	ECK3325
cho	ECK1739
chpA	ECK2776
chpB	ECK4221
chpR	ECK2777
chpS	ECK4220
cirA	ECK2148
citC	ECK0611
citD	ECK0610
citE	ECK0609
citF	ECK0608
citG	ECK0606
citT	ECK0605
citX	ECK0607
clcA	ECK0154
clcB	ECK1587
cld	ECK2022
clpA	ECK0873
clpB	ECK2590
clpP	ECK0431
clpS	ECK0872
clpX	ECK0432
cls	ECK1243
cmk	ECK0901
cmoA	ECK1871
cmr	ECK0832
cmtA	ECK2928
cmtB	ECK2929
cnu	ECK1621
coaA	ECK3966
coaD	ECK3624
coaE	ECK0103
cobB	ECK1106
cobC	ECK0631
cobS	ECK1987
cobT	ECK1986
cobU	ECK1988
codA	ECK0334
codB	ECK0333
cof	ECK0440
copA	ECK0478
corA	ECK3810
cpdA	ECK3023
cpsB	ECK2043
cpsG	ECK2042
cpxA	ECK3904
cpxP	ECK3906
cpxR	ECK3905
crcB	ECK0617
creA	ECK4389
creB	ECK4390
creC	ECK4391
creD	ECK4392
crl	ECK0241
croE	ECK1132
crp	ECK3345
crr	ECK2412
csdA	ECK2806
csdE	ECK2807
csiD	ECK2653
csiE	ECK2532
csiR	ECK2658
cspA	ECK3543
cspB	ECK1551
cspC	ECK1821
cspD	ECK0871
cspE	ECK0616
cspF	ECK1552
cspG	ECK0980
cspH	ECK0979
cspI	ECK1546
csrA	ECK2691
csrD	ECK3240
cstA	ECK0591
cueO	ECK0122
cueR	ECK0481
cusA	ECK0567
cusB	ECK0566
cusC	ECK0564
cusF	ECK0565
cusR	ECK0563
cusS	ECK0562
cutA	ECK4131
cutC	ECK1875
cvpA	ECK2307
cvrA	ECK1179
cyaA	ECK3800
cyaY	ECK3801
cybB	ECK1410
cybC	ECK4231
cycA	ECK4204
cydA	ECK0721
cydB	ECK0722
cydC	ECK0877
cydD	ECK0878
cynR	ECK0335
cynS	ECK0337
cynT	ECK0336
cynX	ECK0338
cyoA	ECK0426
cyoB	ECK0425
cyoC	ECK0424
cyoD	ECK0423
cyoE	ECK0422
cysA	ECK2417
cysB	ECK1269
cysC	ECK2745
cysD	ECK2747
