	category	3A_12_log2FC	3Amk_12_log2FC
aceB	gene	1.22603820721352	1.08860830039301
ackA	gene	1.2827078283636	0.906501554493256
acnA	gene	1.30187555268149	-1.04429444820122
acnB	gene	1.40166632718474	0.930197885814669
acpT	gene	-2.28217577739816	-1.13283992037583
acrA	gene	2.03870713067153	0.510527182130092
adiA	gene	-8.12706309545601	-3.76182172350751
adiC	gene	-2.84487866879372	-2.76361636546373
adk	gene	-3.43754383065308	-1.82682446651841
ahpC	gene	-1.09949067719561	-2.17323269246469
appA	gene	-5.15451174853698	-5.40099112294058
argG	gene	1.34688358292718	1.01872656995486
argO	gene	1.88448739324343	2.54596294090293
argR	gene	4.48365921698156	4.9220823978183
artP	gene	1.93590373136509	2.53581231461736
artQ	gene	1.2897409604075	1.63028724332257
astA	gene	-4.73582745406834	-4.96089362490734
astB	gene	-3.47089081892376	-4.77169233649813
astC	gene	-5.08282865330175	-5.96964661141676
astD	gene	-3.8726382458592	-4.17506718925442
astE	gene	-3.41855093725418	-2.13717688482805
atpB	gene	-0.323323648124978	1.26273802298427
atpC	gene	-0.355947653719109	2.48491911914116
bcsA	gene	1.99430920268618	1.01089608725967
bioB	gene	-4.19490139198484	-0.188578224976815
bioF	gene	-6.45738787736995	0.563379052346816
carA	gene	-0.866502897984576	4.36318725771012
chaA	gene	5.18893788879597	3.94792047682219
chpB	gene	-1.09640283485917	-3.13569657645443
chpS	gene	0.770677474167608	-1.28416036510015
clpB	gene	-6.42112890487453	-4.61036775455104
clpP	gene	-1.67200129497895	-2.00797708766287
clpS	gene	-2.22282583384411	-1.74836202211691
clpX	gene	-1.19317092870285	-2.2032502816132
coaA	gene	-1.01634794561452	-0.879732755521398
cydD	gene	1.46819448550785	1.83402105170609
cyoA	gene	3.92840972341294	4.42194951767956
cyoB	gene	2.4823355787888	1.65349817551318
cyoC	gene	1.14537453228491	1.79718461936264
cyoD	gene	2.76595458370215	3.5557842944331
cysG	gene	-1.35887742005519	0.0716960612037443
dacB	gene	0.153233770284558	1.41861587389106
dacD	gene	2.58142535922936	3.99581322375386
ddlB	gene	0.556717109676848	1.07969334750702
dkgA	gene	0.423412147116594	-1.45445046134148
dnaJ	gene	-5.82663898078011	-4.16605545280882
dnaK	gene	-6.45994449526636	-4.6904850448008
dps	gene	-2.39751218043779	-4.0065710444397
entB	gene	-2.69709990538854	-0.846477138888356
entC	gene	-5.46169370793542	0.86106749027387
entE	gene	-3.18544987336285	0.574566099635074
entF	gene	-1.90881770146765	0.531825185327757
eutR	gene	0.591792038739678	-1.78803969317325
fdx	gene	-1.26625436512396	-0.587452244608384
fepA	gene	-3.35955401478665	-0.701147740164833
fepB	gene	-2.62772467313772	-1.34535902008457
fepD	gene	-6.401282168767	2.29438045001563
fieF	gene	2.29470090373372	1.92016637564863
fimB	gene	4.17886873232874	5.39550822751015
fis	gene	-1.34308429350079	1.74142539754925
fiu	gene	-3.57762385342847	-1.63255602102708
fkpB	gene	-1.64046061289158	-3.47438007228165
flgM	gene	-1.60457110536294	-1.64537041169842
fruR	gene	-1.18686353363059	-0.721102408200394
ftsH	gene	-2.06698732401709	-2.28913486951903
fumC	gene	2.72716061190001	4.39427881515381
gadA	gene	-5.28391561676536	-1.73207841686231
gadB	gene	-4.63171165054971	-1.14020137396843
gapA	gene	-1.99443884341423	-0.568092582929594
gcvH	gene	-1.25035281441859	1.65107163734364
gcvT	gene	-2.10131767070164	2.48812486105063
glcB	gene	1.05800483505585	0.765345225364694
glmS	gene	0.998959397799421	1.09033854649507
glmU	gene	0.854342806363276	1.59962897764713
glnL	gene	-5.86033617748997	-5.55802294711956
glnS	gene	-2.95158191248578	-2.69261394826414
gloA	gene	-0.213516672512902	-1.50385106191735
gloB	gene	-0.753403818119527	-1.87974574029152
glpF	gene	2.22497596472614	1.48811186440922
gltB	gene	0.586241638973558	2.0182296435079
glyA	gene	-1.29882332056551	2.21710137686686
gnd	gene	0.619159803166022	-1.19467281541799
gntP	gene	-6.17482614749381	0.0805882795375022
gntT	gene	-2.86651880261769	-0.63010061234284
gntU	gene	-3.9216946541628	-0.970102714274799
gntY	gene	-4.05494182275437	-2.03260361239427
groL	gene	-4.05669560821113	-2.69888930986419
groS	gene	-4.49139149319458	-1.31931864052311
grpE	gene	-4.25408962206299	-3.11726004019943
hchA	gene	1.21285895980438	-1.64944561525783
hemG	gene	-1.26255075917646	-0.229236256063141
hflC	gene	-1.71568575154412	-2.39238710675654
hflK	gene	-1.62106558259159	-3.34047947167758
hflX	gene	-1.71861017134658	-2.87930198143621
hfq	gene	-2.54463738244447	-1.98437790711195
hscA	gene	-1.60304452385428	-2.06201515170048
hscB	gene	-2.42436216469831	-2.90037410811519
hslO	gene	-3.61478400747821	-3.03708511373514
hslR	gene	-5.11410955538283	-4.27054905445682
hslU	gene	-5.76925199887288	-5.61959130358604
hslV	gene	-5.52573282490921	-5.01565166852638
htpG	gene	-5.4327138680581	-3.87082742387996
hyaD	gene	-6.17409003165292	-8.17453843738393
hybE	gene	-1.74659231268651	-2.01956682081337
hycI	gene	-2.54279927380848	-3.16163081541696
hypA	gene	-2.63059104874974	-1.45586457616794
hypB	gene	-2.23032862564392	-1.97973795892394
hypD	gene	-2.73659211433454	-1.62321958158862
hypF	gene	-2.31739592819238	-2.95045868787148
ibpA	gene	-6.1866984153235	-3.86538766989878
ibpB	gene	-7.88080743168363	-4.48742646088654
ilvA	gene	1.96360813620977	-2.29707259689857
