# Program:featureCounts v1.5.0-p3; Command:"/users/joonhoonkim/bin/anaconda/bin/featureCounts" "-T" "24" "--primary" "-s" "1" "-t" "exon" "-g" "gene_id" "-a" "NC_017638_pBbA5c_pTrc99A.gtf" "-o" "RNA_Seq_counts_s1.txt" "mapped/bwa_all/3A-0-1.bam" "mapped/bwa_all/3A-0-2.bam" "mapped/bwa_all/3A-1-1.bam" "mapped/bwa_all/3A-12-1.bam" "mapped/bwa_all/3A-12-2.bam" "mapped/bwa_all/3A-1-2.bam" "mapped/bwa_all/3Amk-0-1.bam" "mapped/bwa_all/3Amk-0-2.bam" "mapped/bwa_all/3Amk-12-1.bam" "mapped/bwa_all/3Amk-12-2.bam" "mapped/bwa_all/3Amk-1-2.bam" "mapped/bwa_all/3Amk-1-3.bam" "mapped/bwa_all/WT-0-1.bam" "mapped/bwa_all/WT-0-2.bam" "mapped/bwa_all/WT-1-1.bam" "mapped/bwa_all/WT-12-1.bam" "mapped/bwa_all/WT-12-3.bam" "mapped/bwa_all/WT-1-2.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/bwa_all/3A-0-1.bam	mapped/bwa_all/3A-0-2.bam	mapped/bwa_all/3A-1-1.bam	mapped/bwa_all/3A-12-1.bam	mapped/bwa_all/3A-12-2.bam	mapped/bwa_all/3A-1-2.bam	mapped/bwa_all/3Amk-0-1.bam	mapped/bwa_all/3Amk-0-2.bam	mapped/bwa_all/3Amk-12-1.bam	mapped/bwa_all/3Amk-12-2.bam	mapped/bwa_all/3Amk-1-2.bam	mapped/bwa_all/3Amk-1-3.bam	mapped/bwa_all/WT-0-1.bam	mapped/bwa_all/WT-0-2.bam	mapped/bwa_all/WT-1-1.bam	mapped/bwa_all/WT-12-1.bam	mapped/bwa_all/WT-12-3.bam	mapped/bwa_all/WT-1-2.bam
thrL	NC_017638.1	190	255	+	66	38	43	6	182	190	39	14	62	95	93	0	4	29	16	26	10	6	17
thrA	NC_017638.1	338	2800	+	2463	5215	3225	722	27007	21356	949	4198	5059	4031	2094	854	261	749	816	1453	184	304	836
thrB	NC_017638.1	2802	3734	+	933	3214	2808	427	5091	4297	860	3525	3827	665	437	726	316	424	642	1340	40	120	668
thrC	NC_017638.1	3735	5021	+	1287	1311	1133	119	1749	1782	221	1063	941	313	129	150	28	327	294	294	3	28	190
yaaX	NC_017638.1	5235	5531	+	297	75	30	25	58	40	13	60	76	3	5	33	0	13	16	33	0	0	6
yaaA	NC_017638.1	5684	6460	-	777	610	434	69	22	6	139	352	288	4	14	223	43	479	640	282	4	5	93
yaaJ	NC_017638.1	6530	7960	-	1431	308	243	222	52	52	148	125	308	15	41	300	146	150	224	225	0	1	239
talB	NC_017638.1	8239	9192	+	954	28353	22727	6225	2212	1808	10477	15546	14995	1395	708	10734	5021	22553	22583	22011	224	315	8409
mog	NC_017638.1	9307	9894	+	588	3068	2645	1513	241	157	2138	1896	2083	254	141	1644	868	2491	3298	2183	46	70	1826
yaaH	NC_017638.1	9929	10495	-	567	66	36	48	17	7	32	85	72	20	44	94	17	9	27	66	6	2	37
yaaW	NC_017638.1	10644	11357	-	714	16	6	4	6	11	49	5	4	0	7	17	16	21	36	43	4	1	20
yaaI	NC_017638.1	11383	11787	-	405	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
dnaK	NC_017638.1	12164	14080	+	1917	30229	23927	13365	2044	2060	21821	22217	20215	8288	4341	53858	25246	65764	53383	9235	30404	42079	5523
dnaJ	NC_017638.1	14169	15299	+	1131	3344	2448	1161	143	102	2129	2512	2350	492	211	2547	1326	5461	5469	801	1352	1336	597
insL	NC_017638.1;NC_017638.1;NC_017638.1	15440;598319;2499206	16558;599437;2500324	+;+;+	3357	3035	2513	1579	362	211	2127	2693	2416	718	582	2775	1661	3914	4288	1459	832	1330	1332
hokC	NC_017638.1	16752	16904	-	153	45	30	43	14	13	47	32	20	22	5	0	16	15	20	57	19	33	103
nhaA	NC_017638.1	17490	18656	+	1167	1238	932	444	1350	1224	593	766	659	315	288	860	489	631	717	1861	49	108	1588
nhaR	NC_017638.1	18722	19621	+	900	1521	1318	389	874	750	748	1343	1403	509	323	1057	593	713	1023	2748	94	122	952
insB	NC_017638.1;NC_017638.1;NC_017638.1;NC_017638.1;NC_017638.1;NC_017638.1	19812;278403;289874;4413646;1040355;4498491	20315;278906;290377;4414149;1040858;4498994	-;-;-;-;+;+	3024	1679	1543	549	112	83	698	1379	1308	416	303	1765	1414	462	940	1435	126	95	632
rpsT	NC_017638.1	20816	21079	-	264	6789	5803	990	50	63	670	4339	5548	1386	1196	699	703	4425	8717	1757	29	65	1411
